privation	丧失；贫困
privilege	特权，特别利益
probe	探索，探测
probity	刚直，正直
proboscis	长鼻；吸管
proceeds	收入
procession	行列；行进
proclaim	宣告，宣布；显示
procrastinate	耽搁，拖延
proctor	代理人；学监
procure	取得，获得
prod	刺，捅；激励
prodigal	挥霍的；挥霍者
prodigious	巨大的
prodigy	奇事；奇才
produce	产品；农产品
productivity	生产力；生产率
profane	亵渎，玷污
proffer	献出，赠送；提议，建议
proficient	熟练的，精通的
profile	外形轮廓侧面像
profiteer	奸商，牟取暴利者
profligate	挥金如土的人；挥霍者
profound	深的；深刻的；渊博的，深奥的
profuse	很多的浪费的
progeny	后代，子女
prognosis	预后，对疾病的发作及结果的预言
prohibitive	抑制的；价格贵得买不起的
projectile	抛射物，发射体
projection	凸出物
projector	电影放映机，幻灯机
proliferate	繁殖；激增
prolific	多产的，多结果的
prolix	啰嗦的，冗长的
prolixity	啰嗦的，冗长的
prologue	开场白；序幕
prolong	延长，拉长
promenade	散步；开车兜风
prominent	显著的；著名的
promote	提升；促进
prompt	促使，激起；敏捷的，迅速的
promulgate	颁布；宣传
prone	俯卧的；倾向于…的
pronounced	明确的，明显的
prop	支撑物，靠山；支持
propagate	繁殖；传播
propel	推进
propensity	嗜好，习性
prophecy	预言
prophet	先知，预言家
prophetic	先知的，预言的，预示的
propitiate	讨好；抚慰
propitious	吉利的；有利的
proposal	提案，建议
proposition	看法；提议
proprietary	私有的
propriety	礼节；适当
propulsion	推进力
prosaic	单调的，无趣的
proscribe	禁止
prose	散文
prosecute	告发，检举
prosecution	起诉；实行，经营
proselytize	使…皈依
prospect	勘探；期望；前景
prosperity	繁荣；幸运；健康
prosperous	繁荣富强的
prostrate	俯卧的；沮丧的；使下跪，鞠躬
protagonist	提议者，支持者
protean	变化多端的，多变的
protest	抗议，反对
protocol	外交礼节；协议，草案
prototype	原型；典型
protract	延长，拖长
protuberant	凸出的，隆起的
provenance	出处，起源
provender	草料，粮秣
provident	深谋远虑的；节俭的
providential	幸运的；恰到好处的
provincial	褊狭的，粗俗的
provision	供应；条款
provisional	暂时的，临时的
provisory	有附带条件的
provocation	挑衅，激怒
prowess	勇敢；不凡的能力
prowl	潜行于，偷偷地漫游
proximate	即将来临的，接近的
prude	过分守礼的人
prudent	审慎的，三思而后行的；精明的；节俭的
prudish	过分守礼的，假道学的
prune	梅干；修剪
pry	刺探；撬开
pseudonym	假名，笔名
psyche	心智，精神
psychology	心理学，心理状态
publicize	引人注意；宣传
pucker	起皱；皱褶
puckish	淘气的
puddle	水坑，洼
puerile	幼稚的；儿童的
pugilism	拳击，搏击
pugilist	拳击手，拳师
pugnacious	好斗的
puissance	权力
puissant	强有力的，强大的
pulchritude	美丽
pullet	小母鸡
pulley	滑轮；滑车
pulp	果肉酱；纸浆
pulse	搏动，跳动；脉搏；脉冲
pulverize	压成细粉；彻底击败
pun	双关语
punch	以拳猛击；打洞
punctilious	谨小慎微的，神经质的，为小事挂虑的
puncture	刺穿，刺破；刺孔，穿孔
pundit	权威人士，专家
pungent	味道刺激的；苛刻的
puny	弱小的，发育不良的
purchase	支点
purgative	泻药
purgatory	炼狱；受苦受难的地方
purge	清洗，洗涤
purify	使洁净，净化
purity	纯洁，纯净；纯度
purlieu	邻近地区
purloin	偷窃
purported	谣传的，声张的，号称的
pursue	追赶，追求，追踪
purvey	供给，供应
pusillanimous	胆小的
pylon	高压电线架；桥塔
pyre	火葬用的柴堆
quack	冒充内行之人；庸医
quaff	痛饮，畅饮
quail	畏惧，颤抖
quaint	离奇有趣的
qualified	有资格的；有限制的
qualms	疑虑
quandary	困惑，进退两难
quantum	量子；定量
quarantine	隔离检疫期，隔离
quarry	猎物
quartet	四重奏，四重唱
quash	镇压；取消
quaver	发颤音，颤抖；颤音
quay	码头
quell	制止，镇压
quench	熄灭；抑制
querulous	抱怨的，多牢骚的
quest	搜寻，探求；探求
